source	target
AHSP	Hemoglobin
BLVRB	Hemoglobin
CD163	Hemoglobin
DGKK	Hemoglobin
HBA1	Hemoglobin
HBA2	Hemoglobin
HBAP1	Hemoglobin
HBB	Hemoglobin
HBBP1	Hemoglobin
HBD	Hemoglobin
HBD	Hemoglobin
HBE1	Hemoglobin
HBFQTL2	Hemoglobin
HBFQTL4	Hemoglobin
HBG1	Hemoglobin
HBG2	Hemoglobin
HBM	Hemoglobin
HBQ1	Hemoglobin
HBZ	Hemoglobin
HBZP1	Hemoglobin
HPFH2	Hemoglobin
NPRL3	Hemoglobin
O2SAT	Oxygen saturation
OXSAT	Oxygen saturation
RHEX	Hemoglobin
ABCC9	Urea
SLC14A1	Urea
SLC14A2	Urea
UAQTL3	Uric acid
UAQTL4	Uric acid
UAQTL5	Uric acid
UAQTL6	Uric acid
ABHD12	Lipase
ABHD12B	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD16A	Lipase
ABHD2	Lipase
ABHD4	Lipase
ABHD6	Lipase
ANAPC13	Lipase
CEL	Lipase
CELP	Lipase
CES1	Lipase
CES1	Lipase
CLEC10A	Lipase
DAGLA	Lipase
DAGLB	Lipase
GTF3C5	Lipase
JUND	Lipase
LIPA	Lipase
LIPB	Lipase
LIPC	Lipase
LIPE	Lipase
LIPF	Lipase
LIPG	Lipase
LIPH	Lipase
LIPI	Lipase
LIPJ	Lipase
LIPK	Lipase
LIPM	Lipase
LIPN	Lipase
LMF1	Lipase
LMF2	Lipase
LPL	Lipase
MGLL	Lipase
MOCOS	Lipase
PHKG1	Lipase
PLA1A	Lipase
PLB1	Lipase
PNLIP	Lipase
PNLIPP1	Lipase
PNLIPRP1	Lipase
PNLIPRP2	Lipase
PNLIPRP3	Lipase
PNPLA2	Lipase
PNPLA3	Lipase
