"","Min","1st Qu","Median","Mean","3rd Qu","Max","NA"
"SUBJECT_ID","Min.   :  677  ","1st Qu.:  961  ","Median : 2811  ","Mean   : 3302  ","3rd Qu.: 4218  ","Max.   :12288  ",NA
"HADM_ID","Min.   :100672  ","1st Qu.:100979  ","Median :102892  ","Mean   :103385  ","3rd Qu.:104264  ","Max.   :112711  ",NA
"ADMI_AGE","Min.   :  2.0  ","1st Qu.: 70.0  ","Median :146.0  ","Mean   :199.8  ","3rd Qu.:269.0  ","Max.   :923.0  ",NA
"Time","Min.   : 0.00  ","1st Qu.: 2.50  ","Median : 8.00  ","Mean   :14.74  ","3rd Qu.:20.00  ","Max.   :99.00  ",NA
"EXPIRE_FLAG","Min.   :1  ","1st Qu.:1  ","Median :1  ","Mean   :1  ","3rd Qu.:1  ","Max.   :1  ",NA
"X5002.Eosinophils","Min.   :0.0000  ","1st Qu.:0.3000  ","Median :0.6000  ","Mean   :0.9932  ","3rd Qu.:1.3250  ","Max.   :6.0000  ","NA's   :7  "
"X5021.ALB.GLB","Min.   :0.470  ","1st Qu.:1.620  ","Median :2.070  ","Mean   :2.067  ","3rd Qu.:2.510  ","Max.   :4.070  ","NA's   :8  "
"X5022.adenosine.deaminase","Min.   :  0.40  ","1st Qu.: 11.32  ","Median : 16.95  ","Mean   : 21.28  ","3rd Qu.: 22.95  ","Max.   :134.00  ","NA's   :9  "
"X5024.Albumin","Min.   :10.50  ","1st Qu.:33.55  ","Median :38.00  ","Mean   :36.70  ","3rd Qu.:40.60  ","Max.   :49.70  ","NA's   :8  "
"X5025.Alkaline.Phosphatase","Min.   : 52.0  ","1st Qu.:131.5  ","Median :185.0  ","Mean   :218.9  ","3rd Qu.:252.0  ","Max.   :947.0  ","NA's   :8  "
"X5026.Alanine.Aminotransferase..ALT.","Min.   :  4.00  ","1st Qu.: 18.75  ","Median : 26.00  ","Mean   : 57.24  ","3rd Qu.: 43.25  ","Max.   :608.00  ","NA's   :7  "
"X5027.Amylase","Min.   :  2.000  ","1st Qu.:  9.375  ","Median : 14.000  ","Mean   : 25.385  ","3rd Qu.: 28.150  ","Max.   :213.000  ","NA's   :11  "
"X5031.Asparate.Aminotransferase..AST.","Min.   :  20.0  ","1st Qu.:  40.0  ","Median :  54.0  ","Mean   : 116.8  ","3rd Qu.:  98.5  ","Max.   :1553.0  ","NA's   :8  "
"X5033.Urea","Min.   : 0.860  ","1st Qu.: 2.510  ","Median : 3.685  ","Mean   : 4.185  ","3rd Qu.: 5.253  ","Max.   :13.490  ","NA's   :7  "
"X5034.Calcium..Total","Min.   :1.170  ","1st Qu.:2.095  ","Median :2.210  ","Mean   :2.192  ","3rd Qu.:2.365  ","Max.   :2.770  ","NA's   :8  "
"X5037.Cholesterol..Total","Min.   : 0.050  ","1st Qu.: 2.450  ","Median : 2.810  ","Mean   : 3.195  ","3rd Qu.: 3.620  ","Max.   :12.090  ","NA's   :8  "
"X5038.Creatine.Kinase..CK.","Min.   :   3.0  ","1st Qu.:  73.5  ","Median : 124.0  ","Mean   : 340.1  ","3rd Qu.: 223.5  ","Max.   :3887.0  ","NA's   :8  "
"X5039.Creatine.Kinase..MB.Isoenzyme","Min.   :   5.00  ","1st Qu.:  22.00  ","Median :  29.50  ","Mean   :  64.56  ","3rd Qu.:  49.25  ","Max.   :1774.00  ","NA's   :9  "
"X5041.Creatinine","Min.   : 11.00  ","1st Qu.: 31.32  ","Median : 38.00  ","Mean   : 42.91  ","3rd Qu.: 50.42  ","Max.   :110.00  ","NA's   :9  "
"X5042.Bilirubin..Direct","Min.   :  0.500  ","1st Qu.:  1.625  ","Median :  2.300  ","Mean   :  6.973  ","3rd Qu.:  5.975  ","Max.   :109.900  ","NA's   :9  "
"X5045.Gamma.Glutamyltransferase","Min.   :  8.0  ","1st Qu.: 18.5  ","Median : 37.0  ","Mean   : 45.3  ","3rd Qu.: 61.0  ","Max.   :230.0  ","NA's   :8  "
"X5046.Globulin","Min.   : 9.20  ","1st Qu.:15.40  ","Median :18.20  ","Mean   :19.68  ","3rd Qu.:22.35  ","Max.   :42.80  ","NA's   :8  "
"X5055.Bilirubin..Indirect","Min.   :  0.100  ","1st Qu.:  2.625  ","Median :  4.000  ","Mean   : 13.067  ","3rd Qu.:  7.200  ","Max.   :179.000  ","NA's   :9  "
"X5057.Lactate.Dehydrogenase..LD.","Min.   :  11.0  ","1st Qu.: 338.0  ","Median : 482.0  ","Mean   : 694.6  ","3rd Qu.: 743.5  ","Max.   :4514.0  ","NA's   :8  "
"X5072.Phosphate","Min.   :0.740  ","1st Qu.:1.530  ","Median :1.880  ","Mean   :1.948  ","3rd Qu.:2.145  ","Max.   :4.880  ","NA's   :8  "
"X5074.Total.Bile.Acid","Min.   : 0.70  ","1st Qu.: 3.10  ","Median : 6.00  ","Mean   :11.43  ","3rd Qu.:12.90  ","Max.   :80.00  ","NA's   :10  "
"X5075.Bilirubin..Total","Min.   :  1.30  ","1st Qu.:  4.60  ","Median :  7.20  ","Mean   : 20.44  ","3rd Qu.: 13.43  ","Max.   :217.40  ","NA's   :11  "
"X5077.Triglycerides","Min.   : 0.010  ","1st Qu.: 0.710  ","Median : 1.030  ","Mean   : 1.383  ","3rd Qu.: 1.590  ","Max.   :11.990  ","NA's   :8  "
"X5078.Protein..Total","Min.   :19.70  ","1st Qu.:51.55  ","Median :56.60  ","Mean   :55.78  ","3rd Qu.:61.05  ","Max.   :73.20  ","NA's   :8  "
"X5083.Uric.Acid..Urine","Min.   :  57.0  ","1st Qu.: 173.4  ","Median : 269.0  ","Mean   : 329.2  ","3rd Qu.: 418.2  ","Max.   :1129.9  ","NA's   :8  "
"X5094.Neutrophils","Min.   : 0.55  ","1st Qu.: 3.21  ","Median : 5.96  ","Mean   : 6.90  ","3rd Qu.: 9.16  ","Max.   :23.42  ","NA's   :8  "
"X5095.Neutrophils..","Min.   :21.10  ","1st Qu.:42.00  ","Median :56.55  ","Mean   :56.85  ","3rd Qu.:71.88  ","Max.   :93.00  ","NA's   :7  "
"X5097.Hematocrit","Min.   : 5.10  ","1st Qu.:29.80  ","Median :32.70  ","Mean   :32.55  ","3rd Qu.:35.40  ","Max.   :52.00  ","NA's   :6  "
"X5099.Hemoglobin","Min.   : 13.0  ","1st Qu.: 94.0  ","Median :104.0  ","Mean   :104.4  ","3rd Qu.:117.0  ","Max.   :171.0  ","NA's   :6  "
"X5110.Absolute.Lymphocyte.Count","Min.   : 0.000  ","1st Qu.: 1.580  ","Median : 3.250  ","Mean   : 4.294  ","3rd Qu.: 5.690  ","Max.   :30.680  ","NA's   :8  "
"X5111.Lymphocytes..Percent","Min.   : 3.00  ","1st Qu.:22.05  ","Median :34.90  ","Mean   :35.73  ","3rd Qu.:49.45  ","Max.   :69.60  ","NA's   :7  "
"X5113.MCH","Min.   :18.80  ","1st Qu.:26.50  ","Median :28.30  ","Mean   :28.48  ","3rd Qu.:30.80  ","Max.   :38.50  ","NA's   :6  "
"X5114.MCHC","Min.   :256.0  ","1st Qu.:312.0  ","Median :321.0  ","Mean   :320.1  ","3rd Qu.:332.0  ","Max.   :354.0  ","NA's   :6  "
